Bag,Red,Green,Blue,Orange,Yellow,Brown,Weight
1,3,5,11,12,11,16,48.72
2,4,2,10,6,18,18,48.45
3,4,6,9,4,12,20,48.33
4,4,6,7,6,14,19,46.72
5,5,5,16,12,7,12,48.95
6,5,4,2,9,18,16,47.7
7,6,7,3,6,26,10,50.23
8,6,6,6,4,21,13,48.49
9,8,8,6,5,11,20,49.8
10,8,9,13,4,15,11,51.71
11,8,7,7,13,7,18,51.53
12,8,9,4,6,21,7,48.74
13,9,17,19,3,3,8,48.98
14,9,9,3,9,8,15,46.22
15,9,11,13,0,7,18,50.43
16,9,7,7,2,18,7,47.98
17,9,8,3,8,23,8,50.97
18,10,3,7,9,22,4,47.61
19,10,12,11,6,11,7,47.67
20,11,6,7,12,12,13,52.06
21,12,7,6,5,17,11,49.8
22,12,9,13,2,6,13,46.94
23,12,6,1,12,6,19,48.28
24,14,8,6,8,19,4,50.4
25,14,11,4,1,14,17,51.68
26,14,5,6,6,21,6,49.69
27,15,9,3,3,9,19,49.79
28,15,7,3,8,16,8,49.16
29,15,11,4,13,7,8,49.4
30,20,2,7,5,13,9,50.01
