 Car Model,mpg (Miles/Gallon),cylinders,horsepower,drat,wt,qsec,vs,am,gearbox,dsip,carburetors,"wt + runif(n(), 2e-05, 2e-04)",hp_per_cyl
Mazda RX4,21,6,110,3.89845481364522,2.62,16.4589561029067,0,1,4,159.999218688812,4,2.62007403582971,18.3333333333333
Mazda RX4 Wag,21,6,110,3.90048919761926,2.875,17.0208259784691,0,1,4,160.00002922748,4,2.87502480904117,18.3333333333333
Datsun 710,22.8,4,93,3.85043709893152,2.32,18.6092323790286,1,1,4,107.998724384833,1,2.32007573653765,23.25
Hornet 4 Drive,21.4,6,110,3.08049351776671,3.215,19.4400341902627,1,0,3,258.001038682542,1,3.21515358153828,18.3333333333333
Hornet SportAbout,18.7,8,175,3.15144366153423,3.44,17.0182065864773,0,0,3,359.99880499215,2,3.44002638221086,21.875
Valiant,18.1,6,105,2.76056124242116,3.46,20.2202582793599,1,0,3,224.999035239275,1,3.46012171370017,17.5
Duster 360,14.3,8,245,3.20803798302542,3.57,15.8384859207487,0,0,3,360.00196860167,4,3.57007044639971,30.625
 Merc 240D,24.4,4,62,3.68893020202406,3.19,20.0015713455267,1,0,4,146.701229409361,2,3.19005675533696,15.5
Merc 230,22.8,4,NA,3.92066433503292,3.15,22.8980585090229,1,0,4,140.800213334363,2,3.15004407300176,23.75
Merc 280,19.2,6,123,3.92005700456537,3.44,18.3011324844146,1,0,4,167.600585624376,4,3.44007862274638,20.5
Merc 280C ,17.8,6,123,3.92077436516713,3.44,18.8983598453319,1,0,4,167.599247297228,4,3.44004791115452,20.5
Merc 450SE,16.4,8,180,3.07017989934236,4.07,17.4000767599232,0,0,3,275.800487276793,3,4.07004339318512,22.5
Merc 450SL,17.3,8,180,3.06913093433436,3.73,17.5995370667502,0,0,3,275.799319080703,3,3.73009839559075,22.5
Merc 450SLC,15.2,8,180,3.07169373393711,3.78,17.9982802099893,0,0,3,275.800007989892,3,3.78002695567746,22.5
CAdillac Fleetwood,10.4,NA,205,2.92916926336102,5.25,17.9792825776888,0,0,3,472.000708378109,4,5.25014839428133,25.625
 Lincoln Continental,10.4,8,215,3.00134918251261,5.424,17.8206739815883,0,0,3,459.999939964957,4,5.4240381384274,26.875
Chrysler Imperial,14.7,8,230,3.22914489313867,5.345,17.4217056019055,0,0,3,439.998975715309,4,5.34519105488893,28.75
Fiat 128,32.4,4,NA,4.07906728312001,2.2,19.4698876388846,1,1,4,78.7010618391503,1,2.20004192719729,16.5
Honda Civic,30.4,4,52,4.92874689115863,1.615,18.5185704613728,1,1,4,75.6982951195203,2,1.61505953819176,13
ToyotA Corolla,33.9,4,65,4.21892890364211,1.835,19.9001770790201,1,1,4,71.0992387464074,1,1.83518435579803,16.25
T0yota Corona,21.5,4,97,3.69926644981932,2.465,20.0087846986074,1,0,3,120.100869086973,1,2.4651902535618,24.25
Dodge Challenger ,15.5,8,150,2.75921077348292,3.52,16.8715943219569,0,0,3,318.000018183649,2,3.52007024812013,18.75
AMC Javelin,15.2,8,150,3.14863618401159,3.435,17.2995579991387,0,0,3,303.998611995836,2,3.4350422247958,18.75
 Camaro Z28,13.3,8,245,3.7281599836722,3.84,15.4092434831187,0,0,3,350.000015733953,4,3.8401634888827,30.625
PontiAc Firebird,19.2,8,175,3.07887519816402,3.845,17.048640114652,0,0,3,399.999975843692,2,3.84515396989872,21.875
Fiat X1-9,27.3,4,66,4.08124239420984,1.935,18.9015847433982,1,1,4,79.0010048007881,1,1.93518487536028,16.5
Porsche 914-2,26,4,NA,4.43010279018711,2.14,16.6986655751215,0,1,5,120.298698599296,2,2.1401990276841,22.75
L0tus Europa,30.4,4,113,3.77165863266401,1.513,16.9016016983846,1,1,5,95.1013935696417,2,1.5131896249287,28.25
Ford Pantera L,15.8,8,264,4.22132538018748,3.17,14.4985363127803,0,1,5,351.001459335328,4,3.17010750437337,33
FerrAri Dino,19.7,NA,175,3.6181830810532,2.77,15.4985264565367,0,1,5,144.998167429101,6,2.7700710227177,29.1666666666667
Maserati Bora,15,8,335,3.5398243659297,3.57,14.5984211500101,0,1,5,300.999268728621,8,3.57006527822621,41.875
 Volvo 142E,21.4,4,109,4.10906074668747,2.78,18.6000463343244,1,1,4,120.998054999757,2,2.78011058593074,27.25
