hair,count,proportion,avg_height
none,36,0.4444444444444444,180.88888888888889
brown,15,0.18518518518518517,176.6
black,12,0.14814814814814814,174.33333333333334
bald,5,0.06172839506172839,141.6
white,4,0.04938271604938271,156
blond,3,0.037037037037037035,176.66666666666666
auburn,1,0.012345679012345678,150
"auburn, grey",1,0.012345679012345678,180
"auburn, white",1,0.012345679012345678,182
blonde,1,0.012345679012345678,168
"brown, grey",1,0.012345679012345678,178
grey,1,0.012345679012345678,170
